,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
425,2023-12-10,Fair,66,32.0,61,0.1500843170320404
426,2023-12-09,Fair,75,45.0,61,0.092032967032967
427,2023-12-08,Good,83,107.0,63,0.0973709834469328
428,2023-12-07,Fair,74,57.0,62,0.0827250608272506
429,2023-12-06,Good,81,78.0,61,0.0635641316685584
430,2023-12-05,Fair,67,57.0,63,0.100990099009901
431,2023-12-04,Fair,74,58.0,62,0.0827586206896551
432,2023-12-03,Good,89,131.0,63,0.1145926589077887
433,2023-12-02,Good,82,71.0,62,0.0867579908675799
434,2023-12-01,Fair,72,70.0,60,0.0968944099378882
435,2023-11-30,Fair,73,91.0,60,0.1068427370948379
436,2023-11-29,Fair,75,55.0,58,0.0928050052137643
437,2023-11-28,Fair,71,61.0,60,0.079219288174512
438,2023-11-27,Fair,70,76.0,57,0.1003382187147688
439,2023-11-20,Fair,76,52.0,59,0.0894800483675937
440,2023-11-19,Excellent,91,123.0,60,0.0829655781112091
441,2023-11-18,Good,83,87.0,61,0.0843253968253968
442,2023-11-17,Fair,74,61.0,63,0.069848661233993
443,2023-11-15,Fair,70,92.0,59,0.1201264488935721
444,2023-11-14,Fair,68,68.0,57,0.1521521521521521
445,2023-11-13,Good,80,55.0,59,0.0640176600441501
446,2023-11-12,Fair,61,42.0,61,0.1478439425051334
447,2023-11-11,Fair,67,52.0,60,0.100328947368421
448,2023-11-10,Fair,76,53.0,58,0.0595099183197199
449,2023-11-09,Fair,75,75.0,59,0.0914866581956797
450,2023-11-08,Good,87,106.0,59,0.0824129141886151
451,2023-11-07,Fair,77,78.0,59,0.0857142857142857
452,2023-11-06,Fair,77,101.0,59,0.0720288115246098
453,2023-11-05,Good,83,85.0,60,0.0796019900497512
454,2023-11-04,Fair,66,75.0,59,0.0635155096011816
455,2023-11-02,Fair,73,76.0,59,0.0570430733410943
456,2023-11-01,Fair,74,81.0,57,0.0924855491329479
457,2023-10-30,Fair,70,82.0,59,0.0959232613908872
458,2023-10-29,Fair,68,51.0,58,0.0987482614742698
459,2023-10-28,Fair,74,43.0,58,0.1040391676866585
460,2023-10-27,Good,80,71.0,58,0.1187817258883248
461,2023-10-26,Fair,77,51.0,59,0.0824622531939605
462,2023-10-25,Fair,73,58.0,57,0.1171067738231917
463,2023-10-24,Fair,77,121.0,58,0.110867178924259
